"46003275","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VILLAR PALASÍ","VILLAR PALASÍ","Púb.","CL","XIQUET DE QUART","4",46930,"QUART DE POBLET","València","961545935","961545935",39.48,-0.432772
"12003651","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ANTIGA PANDEROLA","F.P.A. ANTIGA PANDEROLA","Púb.","CL","SOLADES","25-2ª",12540,"VILA-REAL","Castelló","964526900","964506026",39.9384,-0.094915
"12004916","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","LLIBERTAT","F.P.A. LLIBERTAT","Púb.","PS","MARITIM","S/N",12500,"VINARÒS","Castelló","964453044","964407516",40.4693,0.477594
"46003652","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MIGUEL DE CERVANTES","MIGUEL DE CERVANTES","Púb.","AV","DE LA CONSTITUCIO","S/N",46950,"XIRIVELLA","València","963132508","963132508",39.4622,-0.427576
"46011090","CENTRE DOCENT PRIVAT ESTRANGER","COLEGIO ALEMÁN DE VALENCIA","COLEGIO ALEMÁN DE VALENCIA","Priv.","CL","JAIME ROIG","14-16",46010,"VALENCIA","València","963690100","963691043",39.4816,-0.363815
"46002751","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","LA DEVESA","LA DEVESA","Priv.","CL","CAMINO DEPOSITOS","16",46240,"CARLET","València","962530963","962530963",39.229,-0.531818
"46017018","CENTRE PRIVAT DE FORMACIO DE PERSONES ADULTES","IURIS","F.P.A. IURIS","Priv.","CL","LA PAZ","7",46003,"VALENCIA","València","963923839","",39.4735,-0.374018
"46016968","CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA","INSTITUTO MUSICAL GINER","C.A.ENS.ART.PROFESSIONALS DE MÚSICA INSTITUTO MUSICAL GINER","Priv.","CL","GUILLEM DE CASTRO","73",46008,"VALENCIA","València","963920786","963913267",39.4714,-0.383988
"46001291","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","PEPITA GREUS","PEPITA GREUS","Púb.","CL","PEPITA GREUS","18",46230,"ALGINET","València","961750552","961759009",39.2627,-0.474388
"46015022","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VICENTE BLASCO IBÁÑEZ","VICENTE BLASCO IBÁÑEZ","Púb.","CL","DOCTOR JOSE ESPERT","S/N",46230,"ALGINET","València","961751457","961759003",39.2573,-0.471092
"46002052","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA ALBAIT","ALBAIT","ALBAIT","Púb.","CL","CALVARIO","95",46822,"BOLBAITE","València","962223077","962223481",39.0606,-0.671915
"46005053","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","EL CARMEN","EL CARMEN","Priv.","CL","VALENCIA","37",46940,"MANISES","València","961546937","961522853",39.487,-0.450507
"46005065","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAGRADA FAMILIA","SAGRADA FAMILIA","Priv.","CL","TERUEL","3",46940,"MANISES","València","961546811","961546891",39.4947,-0.457156
"46005648","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL LA RAMBLETA","ESCOLA INFANTIL (1) MUNICIPAL LA RAMBLETA","Púb.","CL","CRUCE C.BARCELONA-CEMENTERI I PLUS ULTRA","S/N",46113,"MONCADA","València","961391914","961395663",39.5481,-0.395004
"46006033","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","PUREZA DE MARÍA","PUREZA DE MARÍA","Priv.","PD","DE LA SOLANA","S/N",46870,"ONTINYENT","València","962916082","962916305",38.8206,-0.625609
"46018503","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","LA GACELA, SL","CENTRE EDUCACIÓ INFANTIL LA GACELA, SL","Priv.","CL","PEÑA","21-23",46980,"PATERNA","València","961382417","961388251",39.4962,-0.430859
"46006343","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","MINERVA","CENTRE EDUCACIÓ INFANTIL MINERVA","Priv.","CL","SAN FRANCISCO DE BORJA","31",46980,"PATERNA","València","961383796","961829957",39.5056,-0.441462
"46006422","CENTRE PRIVAT E. PRIMÀRIA I SECUNDÀRIA","ESCUELA PROFESIONAL LA SALLE","ESCUELA PROFESIONAL LA SALLE","Priv.","CL","SAN MARTIN","56",46980,"PATERNA","València","961383014","961365778",39.5082,-0.439346
"46003147","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAN ENRIQUE","SAN ENRIQUE","Priv.","CL","MADRE ASUNCION","6",46930,"QUART DE POBLET","València","961547691","961547691",39.4845,-0.44692
"46003172","CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA","SOLVAM","CENTRE F.PROFESSIONAL SOLVAM","Priv.","CL","CERVANTES","3",46930,"QUART DE POBLET","València","961547793","961547793",39.4828,-0.44044
"46006999","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","LAS COLINAS","LAS COLINAS","Priv.","TR","D'ALBAIDA","34",46727,"REAL DE GANDÍA","València","962869891","962869891",38.9497,-0.195951
"46019261","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","JAUME I","F.P.A. JAUME I","Púb.","PZ","ESCOLES PIES","1",46701,"GANDIA","València","962865739","",38.969,-0.181414
"46019271","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","","F.P.A.","Púb.","CL","MANUEL TOMAS (EDIF.JACARANDA)","2",46110,"GODELLA","València","963642952","963905740",39.5235,-0.418693
"46019295","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ALTS DEL MERCAT","F.P.A. ALTS DEL MERCAT","Púb.","CL","PLA DE L'ARC","S/N",46160,"LLÍRIA","València","962798276","962798276",39.634,-0.591572
"46019301","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","MENICIL","F.P.A. MENICIL","Púb.","CL","SANTOS JUSTO Y PASTOR","70",46940,"MANISES","València","961536516","961542941",39.4946,-0.470535
"46019325","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","SANT CARLES","F.P.A. SANT CARLES","Púb.","CL","MAYANS","53",46870,"ONTINYENT","València","962915493","962388139",38.8234,-0.60796
"46019337","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","","F.P.A.","Púb.","GR","DE LA MERCED","S/N",46980,"PATERNA","València","961381766","607084745",39.5022,-0.437817
"46019349","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","","F.P.A.","Púb.","AV","DEL SUD","14",46220,"PICASSENT","València","961232426","",39.3596,-0.464028
