"03005859","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANTÍSIMO CRISTO","SANTÍSIMO CRISTO","Púb.","CL","CUESTA GRUPO ESCOLAR","S/N",3740,"GATA DE GORGOS","Alacant","965756429","966469009 ",38.7705,0.083717
"03006301","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","ELOY COLOMA","ELOY COLOMA","Púb.","AV","DE LA CONSTITUCION","S/N",3100,"XIXONA","Alacant","965626011","965626011",38.5421,-0.505993
"03006335","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","FRANCISCO CLOQUELL","FRANCISCO CLOQUELL","Púb.","CL","LA SAFOR","S/N",3860,"ORXA (L')","Alacant","966511133","966511133",38.8441,-0.30943
"46000249","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SANTA ANA Y SAN JOSÉ DE LA MONTAÑA","SANTA ANA Y SAN JOSÉ DE LA MONTAÑA","Priv.","PZ","DE LA IGLESIA","11",46470,"ALBAL","València","961261984","961266426",39.3971,-0.414712
"46001114","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SANTA ANA","SANTA ANA","Priv.","CL","MARE MARIA RAFOLS","16",46680,"ALGEMESÍ","València","962482300","962483800",39.1942,-0.429304
"46000547","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAGRADA FAMILIA","SAGRADA FAMILIA","Priv.","CL","SAGRADA FAMILIA","38",46600,"ALZIRA","València","962404581","962401869",39.1586,-0.425307
"46001849","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","CRISTO REY","CRISTO REY","Priv.","CL","SAN VICENTE","7",46450,"BENIFAIÓ","València","961780222","961795644",39.2867,-0.428215
"46002121","CENTRO PRIVADO E. INFANTIL, PRIMARIA Y SECUNDARIA SAGRADA FAMILIA-ATALAYA","SAGRADA FAMILIA-ATALAYA","SAGRADA FAMILIA-ATALAYA","Priv.","CL","DOCTOR FACUNDO TOMÁS","2",46360,"BUÑOL","València","962500054","962504568",39.4229,-0.790533
"46014212","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","ARGOS","ARGOS","Priv.","AV","BURJASSOT","291",46015,"VALENCIA","València","963490734","963490734",39.4975,-0.399113
"46014194","CENTRE PRIVAT D'EDUCACIÓ ESPECIAL","AUXILIA","C.E.ESPECIAL AUXILIA","Priv.","CL","GRAVADOR FABREGAT","5-B",46019,"VALENCIA","València","963725082","963553143",39.4965,-0.372666
"03013741","CONSERVATORI ELEMENTAL DE MÚSICA","MESTRE BERENGUER","CONSERVATORI ELEMENTAL DE MÚSICA MESTRE BERENGUER","Púb.","CL","COLÓN","45",3725,"TEULADA","Alacant","965740488","965740166",38.7285,0.101693
"46016841","CENTRE AUT. D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS D'ARTS PLÀSTIQUES I DISSENY","BARREIRA ARTE Y DISEÑO","C.A.ENS.ART.PROF.ARTS PLAST.I DISSENY BARREIRA ARTE Y DISEÑO","Priv.","CL","SAN JACINTO","1",46008,"VALENCIA","València","961130354","961130359",39.4755,-0.389411
"46011028","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","CLARET","CLARET","Priv.","CL","SOLEDAD DOMENECH","8-12",46020,"VALENCIA","València","963694351","963694351",39.4841,-0.361851
"46012896","CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA","ESCUELA PROFESIONAL XAVIER","CENTRE F.PROFESSIONAL ESCUELA PROFESIONAL XAVIER","Priv.","CL","PINTOR LÓPEZ","8",46003,"VALENCIA","València","963918200","963915064",39.4781,-0.373052
"46011387","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","ESCUELAS PÍAS-MALVARROSA","ESCUELAS PÍAS-MALVARROSA","Priv.","CL","GRAN CANARIA","15",46011,"VALENCIA","València","963716277","963724041",39.4818,-0.329457
"46010243","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","INMACULADO CORAZÓN DE MARÍA","INMACULADO CORAZÓN DE MARÍA","Priv.","CL","GONZÁLEZ MARTÍ","4",46008,"VALENCIA","València","963821350","963859370",39.4738,-0.393716
"46011922","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","JESÚS MARÍA-FUENSANTA","JESÚS MARÍA-FUENSANTA","Priv.","PZ","MURCIA","10",46014,"VALENCIA","València","963793251","963140724",39.4647,-0.409772
"46002829","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LA PAU","LA PAU","Púb.","PZ","MUSICO NICOLAU GARCIA","S/N",46171,"CASINOS","València","962700070","962700070",39.698,-0.705142
"46007670","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JOSÉ ROMEU","JOSÉ ROMEU","Púb.","CL","ALORCO","42",46500,"SAGUNT","València","962662243","962662243",39.6802,-0.271975
"46007581","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BALADRE","BALADRE","Púb.","CL","JUAN MARTORELL","2",46520,"SAGUNT PUERTO SAGUNTO (EL)","València","962673071","",39.672,-0.241882
"46016531","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA VICENTE BLASCO IBÁÑEZ","VICENTE BLASCO IBÁÑEZ","VICENTE BLASCO IBÁÑEZ","Púb.","CL","GALILEO","S/N",46380,"CHESTE","València","962510390","962510390",39.4971,-0.682794
"46007517","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","CERVANTES","CERVANTES","Púb.","AV","9 DE OCTUBRE","15",46520,"SAGUNT PUERTO SAGUNTO (EL)","València","962671096","",39.6605,-0.2248
"46015666","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VICTORIA Y JOAQUÍN RODRIGO","VICTORIA Y JOAQUIN RODRIGO","Púb.","AV","JUAN DE AUSTRIA","S/N",46520,"SAGUNT PUERTO SAGUNTO (EL)","València","962672644","962691176",39.6648,-0.236131
"46017641","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VICENTE PLA PAREDES","VICENTE PLA PAREDES","Púb.","CL","ERNESTO ANDREU MINGUET","S/N",46910,"SEDAVÍ","València","963762224","963762224",39.4269,-0.38052
"46008017","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA RAMÓN LAPORTA","RAMÓN LAPORTA","RAMÓN LAPORTA","Púb.","AV","RAMON LAPORTA","S/N",46320,"SINARCAS","València","962315085","",39.7333,-1.23292
"46011491","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","TRAFALGAR","TRAFALGAR","Priv.","CL","RODRIGO PERTEGAZ","29",46023,"VALENCIA","València","963302494","963360873",39.4615,-0.342852
"03012013","CENTRE D'EDUCACIÓ ESPECIAL","COMARCAL RAQUEL PAYA","C.E.ESPECIAL COMARCAL RAQUEL PAYA","Púb.","PD","MADRIGUERES SUD","74",3700,"DÉNIA","Alacant","965788011","966430000",38.8372,0.096602
"03012268","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BERNAT DE SARRIÀ","BERNAT DE SARRIÀ","Púb.","CM","MIRANTBO","S/N",3510,"CALLOSA D'EN SARRIÀ","Alacant","965881659","",38.6545,-0.119562
"03012360","ESCOLA PÚBLICA DE MÚSICA I DANSA","MUNICIPAL","E. DE MÚSICA I DANSA MUNICIPAL","Púb.","AV","DE LA CONSTITUCIÓN","20",3430,"ONIL","Alacant","965564259","965564131",38.6302,-0.672591
"03014538","INSTITUT D'EDUCACIÓ SECUNDÀRIA","MISTERI D'ELX","INSTITUT EDUCACIÓ SECUNDÀRIA MISTERI D'ELX","Púb.","AV","DE LA UNIVERSITAT D'ELX","1",3202,"ELX","Alacant","965450333","965450366",38.2733,-0.689698
"03014617","COLEGIO DE EDUCACIÓN PRIMARIA PINTOR SOROLLA","PINTOR SOROLLA","PINTOR SOROLLA","Púb.","AV","RONDA","S/N",3600,"ELDA","Alacant","965388257","965388257",38.4658,-0.79153
"03016250","ESCOLA EUROPEA","DE ALICANTE","ESCUELA EUROPEA DE ALICANTE","Púb.","AV","LOCUTOR VICENTE HIPÓLITO","S/N",3540,"ALACANT","Alacant","965269595","965269777",38.3731,-0.431406
"46026147","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL EL SOLET","ESCOLA INFANTIL (1) MUNICIPAL EL SOLET","Púb.","CL","TRAPIG","S/N",46790,"XERESA","València","962895422","",39.012,-0.216454
"46026159","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL","ESCOLA INFANTIL (1) MUNICIPAL","Púb.","CL","PINTOR SOROLLA","7",46016,"TAVERNES BLANQUES","València","961861363","963387009",39.5105,-0.365628
"12006238","CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA","MULTIMÁTICA DEL MEDITERRÁNEO","CENTRE F.PROFESSIONAL MULTIMÁTICA DEL MEDITERRÁNEO","Priv.","CL","MUSEROS","10",12005,"CASTELLÓ DE LA PLANA","Castelló","964260006","964229447",39.9787,-0.03282
"46026184","ESCOLA INFANTIL DE PRIMER CICLE","PRADA","ESCOLA INFANTIL (1) PRADA","Púb.","CL","PADRE ESTANISLAO","23",46610,"GUADASSUAR","València","962571309","",39.1896,-0.480008
"03016316","CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA","CENTRO POLIVALENTE SOCIAL Y EDUCATIVO","CENTRE F.P. CENTRO POLIVALENTE SOCIAL Y EDUCATIVO","Priv.","CL","SAN LORENZO","19",3007,"ALACANT","Alacant","637124318","966086691",38.3415,-0.513139
"46024965","SECCIÓ D'EDUCACIÓ SECUNDÀRIA","I.E.S. HENRI MATISSE","SECCIÓ EDUCACIÓ SECUNDÀRIA I.E.S. HENRI MATISSE","Púb.","CL","434","S/N",46182,"PATERNA CAÑADA (LA)","València","961323764","961329757",39.5205,-0.47952
"46024096","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","CAMP DE TÚRIA","CAMP DE TURIA","Púb.","AV","DEL PAIS VALENCIA","86",46117,"BÉTERA","València","961602777","961602813",39.5871,-0.460701
"46024138","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","HADA UN MUNDO MÁGICO","CENTRE EDUCACIÓ INFANTIL HADA UN MUNDO MÁGICO","Priv.","CL","MALVARROSA","1",46183,"ELIANA (L')","València","962743891","",39.5616,-0.550248
"46024141","CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA","ISFE, ESCUELA VALENCIANA DE INFORMÁTICA","ISFE, ESCUELA VALENCIANA DE INFORMÁTICA","Priv.","CL","RAMON LLULL","5",46021,"VALENCIA","València","963624500","",39.4752,-0.347604
"03015531","SECCIÓ D'EDUCACIÓ SECUNDÀRIA","I.E.S. SAN VICENTE DE S.V.DEL RASPEIG","SECCIÓ E.SECUNDÀRIA I.E.S. SAN VICENTE DE S.V.DEL RASPEIG","Púb.","AV","DE ELDA","3-5",3698,"AGOST","Alacant","965626698","965626699",38.4378,-0.642963
"03015543","INSTITUT D'EDUCACIÓ SECUNDÀRIA","EL PLA","INSTITUT EDUCACIÓ SECUNDÀRIA EL PLA","Púb.","AV","CIUDAD LEON DE NICARAGUA","8",3015,"ALACANT","Alacant","965261182","965261162",38.3609,-0.468834
"46024163","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","PETETE","CENTRE EDUCACIÓ INFANTIL (1) PETETE","Priv.","CL","FLORISTA","7B",46015,"VALENCIA","València","963407560","963480803",39.4901,-0.391474
"46024175","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL EL CARAGOL","ESCOLA INFANTIL (1) MUNICIPAL EL CARAGOL","Púb.","CL","BARRANCO","67",46780,"OLIVA","València","962850668","",38.9194,-0.124637
"46024187","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","SAN PASCUAL BAYLON","CENTRE EDUCACIÓ INFANTIL SAN PASCUAL BAYLON","Priv.","CL","DOCTOR MOLINER","10",46010,"VALENCIA","València","963695663","963695663",39.4764,-0.362667
"46024205","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","NATURA","CENTRE EDUCACIÓ INFANTIL NATURA","Priv.","CL","DOLORES ALCAIDE","14",46007,"VALENCIA","València","963413089","961504563",39.4565,-0.385294
"46024242","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","BAMBI","CENTRE EDUCACIÓ INFANTIL (1) BAMBI","Priv.","CL","PINTOR SALVADOR ABRIL","41",46005,"VALENCIA","València","963735598","963735598",39.4614,-0.368986
"46024357","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","LA ESTRELLA","CENTRE EDUCACIÓ INFANTIL (1) LA ESTRELLA","Priv.","CL","PEDRO ALEXANDRE","12-B",46006,"VALENCIA","València","963339315","",39.4608,-0.364029
"46024382","SECCIÓ D'EDUCACIÓ SECUNDÀRIA","I.E.S. SIVERA FONT DE CANALS","SECCIÓ E.SECUNDÀRIA I.E.S. SIVERA FONT DE CANALS","Púb.","CL","SENYERA","1",46690,"ALCÚDIA DE CRESPINS (L')","València","962246211","962243218",38.9704,-0.594206
"46024394","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","LA GRANOTA","CENTRE EDUCACIÓ INFANTIL (1) LA GRANOTA","Priv.","CL","POETA ESPRONCEDA","S/N",46900,"TORRENT","València","961553913","",39.438,-0.461125
"46024424","INSTITUT D'EDUCACIÓ SECUNDÀRIA","","INSTITUT EDUCACIÓ SECUNDÀRIA","Púb.","AV","CORTS VALENCIANES","51",46290,"ALCÀSSER","València","961230860","961230857",39.3682,-0.440269
"46024436","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","CAP I CUA","CENTRE EDUCACIO INFANTIL (1) CAP I CUA","Priv.","CL","EL SALVADOR","18",46900,"TORRENT","València","961572071","961572071",39.4348,-0.471138
"12005921","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","LLEDÓ, INTERNATIONAL SCHOOL","LLEDÓ, INTERNATIONAL SCHOOL","Priv.","CM","CAMINÀS","175",12003,"CASTELLÓ DE LA PLANA","Castelló","964723170","964723171",40.0011,-0.021511
"03006955","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA NUESTRA SEÑORA DEL PILAR","NUESTRA SEÑORA DEL PILAR","NUESTRA SEÑORA DEL PILAR","Púb.","CL","VEGA BAJA","S/N",3325,"ORIHUELA CAMPANETA (LA)","Alacant","966740766","966736789",38.09,-0.894946
"03007546","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","EL CARRASCAL","EL CARRASCAL","Púb.","CL","CALVARIO","8",3792,"PARCENT","Alacant","966405008","",38.746,-0.066519
"03001568","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JOAQUÍN SOROLLA","JOAQUÍN SOROLLA","Púb.","CL","ALBACETE","S/N",3005,"ALACANT","Alacant","965924978","965984090",38.3508,-0.497485
"03001571","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","CARLOS ARNICHES","CARLOS ARNICHES","Púb.","CL","ALONSO CANO","19",3014,"ALACANT","Alacant","965241896","965241896",38.3647,-0.480233
"03002238","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LA CONDOMINA","LA CONDOMINA","Púb.","AV","PAISES ESCANDINAVOS (PLAYA SAN JUAN)","17",3540,"ALACANT","Alacant","965160950","965160950",38.3723,-0.418046
"03011161","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","EL PALMERAL","EL PALMERAL","Púb.","CL","PORTET DE MORAIRA","2",3008,"ALACANT","Alacant","965100541","965109111",38.3311,-0.512216
"03011124","ESCOLA D'ART I SUPERIOR DE DISSENY","","ESCOLA D'ART I SUPERIOR DE DISSENY","Púb.","CL","DEL CLOT","12",3011,"ALACANT","Alacant","965170098","965170061",38.3778,-0.495082
"03001246","CENTRE PRIVAT E. INFANTIL I PRIMÀRIA","SAN JUAN DE LA CRUZ","SAN JUAN DE LA CRUZ","Priv.","CL","GENERAL ESPARTERO","6",3012,"ALACANT","Alacant","965248181","",38.3586,-0.48283
"03012153","CONSERVATORI PROFESSIONAL DE DANSA","JOSÉ ESPADERO","CONSERVATORI PROFESSIONAL DE DANSA JOSÉ ESPADERO","Púb.","AV","JAIME MAS PORCEL","S/N",3005,"ALACANT","Alacant","965141794","965203589",38.3527,-0.493006
"12003572","CENTRE PRIVAT DE PREESCOLAR","MABECAR","PREESCOLAR MABECAR","Priv.","CM","ALMALAFA","57",12005,"CASTELLÓ DE LA PLANA","Castelló","964235702","",39.9762,-0.030899
"46024977","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL REAL DE GANDIA ","ESCOLA INFANTIL (1) MUNICIPAL REAL DE GANDÍA","Púb.","AV","GERMANIES","S/N",46727,"REAL DE GANDÍA","València","962875195","962876824",38.9492,-0.190555
"03015920","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL ELS PEIXOS","ESCOLA INFANTIL (1) MUNICIPAL ELS PEIXOS","Púb.","CL","ALICANTE","33",3610,"PETRER","Alacant","965375406","966951160",38.4842,-0.786327
"46024990","INSTITUT D'EDUCACIÓ SECUNDÀRIA","NÚMERO 2","INSTITUT EDUCACIÓ SECUNDÀRIA NÚMERO 2","Púb.","CM","DE LES ÀNIMES","S/N",46190,"RIBA-ROJA DE TÚRIA","València","962779612","962779664",39.5482,-0.562261
"03015932","SECCIÓ D'EDUCACIÓ SECUNDÀRIA","I.E.S. HISTORIADOR CHABÀS","SECCIÓ E.SECUNDÀRIA I.E.S. HISTORIADOR CHABÀS","Púb.","CL","LLANXA","4",3700,"DÉNIA","Alacant","965786870","965788977",38.845,0.096055
"46025039","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","JESÚS NIÑO","CENTRE EDUCACIÓ INFANTIL (1) JESÚS NIÑO","Priv.","CL","MAESTRO CHAPI","28",46100,"BURJASSOT","València","963902766","963623880",39.5035,-0.415927
"46024539","CENTRE AUTORITZAT ELEMENTAL DE DANSA","ESCUELA TALLER DE DANZA","C.ELEMENTAL DE DANSA ESCUELA TALLER DE DANZA","Priv.","CL","PADRE CARLOS FERRÍS","52",46702,"GANDIA","València","962872910","",38.9619,-0.184633
"46024072","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANT ISIDRE","SANT ISIDRE","Púb.","CL","ANDREU ALABARTA","43",46014,"VALENCIA","València","963789089","963787057",39.4514,-0.403061
"46024084","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","HUMANISTA MARINER","HUMANISTA MARINER","Púb.","CL","HUMANISTA MARINER","S/N",46014,"VALENCIA","València","963170792","963170793",39.4596,-0.394435
"46024254","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","EL COLE","CENTRE EDUCACIÓ INFANTIL (1) EL COLE","Priv.","CM","VIEJO DE XIRIVELLA","31",46014,"VALENCIA","València","963599218","",39.4725,-0.410905
"46023675","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","REDOLINS","CENTRE EDUCACIÓ INFANTIL (1) REDOLINS","Priv.","AV","CONSTITUCIÓN","221",46019,"VALENCIA","València","963652000","963652000",39.4957,-0.371454
"46024281","CENTRE PRIVAT D'EDUCACIÓ INFANTIL","ANAIA","CENTRE EDUCACIÓ INFANTIL ANAIA","Priv.","CL","JOSÉ DE ORGA","7",46022,"VALENCIA","València","963724573","963724573",39.4703,-0.345155
"46024291","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","EL OSITO AZUL","CENTRE EDUCACIÓ INFANTIL (1) EL OSITO AZUL","Priv.","CL","REVERENDO JOSÉ NOGUERA","26",46017,"VALENCIA","València","963781491","",39.4438,-0.392396
"46021952","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL GESMIL","ESCOLA INFANTIL (1) MUNICIPAL GESMIL","Púb.","CL","TRINQUETE","5",46940,"MANISES","València","961520709","961547126",39.4916,-0.461544
"03015580","ESCOLA INFANTIL DE PRIMER CICLE","MUNICIPAL LES FONTANELLES","ESCOLA INFANTIL (1) MUNICIPAL LES FONTANELLES","Púb.","AV","DEL MUNICIPI","18",3502,"BENIDORM","Alacant","965856802","966830561",38.5454,-0.121783
"03015634","INSTITUTO DE EDUCACIÓN SECUNDARIA ","","INSTITUTO EDUCACIÓN SECUNDARIA","Púb.","CL","RAFAEL ALBERTI","S/N",3369,"RAFAL","Alacant","966752404","966752404",38.1017,-0.849198
"03015646","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VELES E VENTS","VELES E VENTS","Púb.","AV","DE LES CORTS VALENCIANES","1",3580,"ALFÀS DEL PI (L')","Alacant","966860784","965889788",38.5738,-0.092268
"03011896","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","EL TRINQUET","EL TRINQUET","Púb.","CL","CANONGE VALERIA COSTA","7",3750,"PEDREGUER","Alacant","965760081","",38.7924,0.030963
"03010351","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LA FOIA","LA FOIA","Púb.","CL","VENEZUELA","1",3610,"PETRER","Alacant","965372399","965372399",38.4829,-0.766822
"03007698","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","9 D'OCTUBRE","9 D'OCTUBRE","Púb.","AV","BASSA PERICO","11",3610,"PETRER","Alacant","965370505","966955770",38.4812,-0.77296
"03007704","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","REYES CATÓLICOS","REYES CATÓLICOS","Púb.","CL","VILLAFRANQUEZA","S/N",3610,"PETRER","Alacant","965370511","966952578",38.486,-0.781231
"03010363","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VIRREY POVEDA","VIRREY POVEDA","Púb.","CL","VIRREY POVEDA","20",3610,"PETRER","Alacant","965370954","",38.4811,-0.777626
"03007790","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANTA CATALINA","SANTA CATALINA","Púb.","CL","SANCHIS GUARNER","S/N",3650,"PINÓS (EL)","Alacant","965477310","966966002",38.4072,-1.03921
"03007881","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SAN ROQUE","SAN ROQUE","Púb.","CL","PARTIDA TEROL","S/N",3520,"POLOP","Alacant","965870088","965870088",38.6129,-0.135752
"03007947","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA SAGRADOS CORAZONES","SAGRADOS CORAZONES","SAGRADOS CORAZONES","Púb.","CL","JUAN XXIII","S/N",3370,"REDOVÁN","Alacant","966754135","966735502",38.1134,-0.908121
"03008460","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA CERVANTES","CERVANTES","CERVANTES","Púb.","CL","AZORIN","1",3630,"SAX","Alacant","965474715","965474715",38.5352,-0.818471
"03008526","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","AUSIÀS MARCH","AUSIÀS MARCH","Púb.","CL","REVOLTES","20",3779,"POBLETS (ELS) SETLA","Alacant","966474155","",38.8505,0.018947
"03001544","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","AUSIÀS MARCH","AUSIÀS MARCH","Púb.","CL","CERES","S/N",3009,"ALACANT","Alacant","965254605","965255946",38.3601,-0.494025
"03009683","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","AZORÍN","AZORÍN","Púb.","CL","BIOLOGO KONRAD LORENZ","5",3015,"ALACANT","Alacant","965249453","965251963",38.3638,-0.470628
"03010570","CENTRE D'EDUCACIÓ ESPECIAL","SANTO ÁNGEL DE LA GUARDA","C.E.ESPECIAL SANTO ÁNGEL DE LA GUARDA","Púb.","CL","VIRGEN DEL PUIG","17",3009,"ALACANT","Alacant","965173343","965173343",38.3692,-0.499899
"12004710","CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE MÚSICA","CENTRE ESTUDIS MUSICALS D'ONDA","C.A.ENS.ART.PROFESSIONALS MÚSICA C.ESTUDIS MUSICALS D'ONDA","Priv.","CL","DE LA CONCEPCIÓN","62",12200,"ONDA","Castelló","964033884","964033884",39.9639,-0.26758
"12004722","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","EL PEIXET","EL PEIXET","Priv.","CM","PEÑISCOLA, KM. 3 .PDA. MEZQUITA","",12598,"PENÍSCOLA","Castelló","964472920","",40.3913,0.405614
"12003286","CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE","KINDER PARK","CENTRE EDUCACIÓ INFANTIL (1) KINDER PARK","Priv.","CL","ERMITA","234",12540,"VILA-REAL","Castelló","964522029","",39.95,-0.10924
"03009051","INSTITUT D'EDUCACIÓ SECUNDÀRIA","LA MALLADETA","INSTITUT EDUCACIÓ SECUNDÀRIA LA MALLADETA","Púb.","CL","DIPUTADA ANGELA LLINARES","1",3570,"VILA JOIOSA (LA)","Alacant","965890650","966851154",38.5128,-0.227618
"12001356","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JAUME I","JAUME I","Púb.","CM","VELL D'ALCORA","15",12006,"CASTELLÓ DE LA PLANA","Castelló","964215859","964340873",39.9869,-0.053714
"03008915","INSTITUT D'EDUCACIÓ SECUNDÀRIA","MARCOS ZARAGOZA","INSTITUT EDUCACIÓ SECUNDÀRIA MARCOS ZARAGOZA","Púb.","CL","FERROCARRIL","22",3570,"VILA JOIOSA (LA)","Alacant","965891604","965891919",38.5048,-0.241195
"03008666","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA INMACULADA CONCEPCIÓN","INMACULADA CONCEPCIÓN","INMACULADA CONCEPCIÓN","Púb.","CL","ORIHUELA","69",3181,"TORREVIEJA","Alacant","965710888","965705780",37.9816,-0.687053
"03008678","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA VIRGEN DEL CARMEN","VIRGEN DEL CARMEN","VIRGEN DEL CARMEN","Púb.","CL","TABARCA","S/N",3183,"TORREVIEJA","Alacant","966706353","965707499",37.9912,-0.669801
"03012131","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA EL GREC","EL GREC","EL GREC","Púb.","PD","DEL GREC","S/N",3400,"VILLENA","Alacant","965807260","965817016",38.6446,-0.873284
"03009166","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA JOAQUÍN MARÍA LÓPEZ","JOAQUÍN MARÍA LÓPEZ","JOAQUÍN MARÍA LÓPEZ","Púb.","CL","PASCUAL MARQUINA","2",3400,"VILLENA","Alacant","965801835","965801835",38.6373,-0.86042
"03009181","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA RUPERTO CHAPÍ","RUPERTO CHAPÍ","RUPERTO CHAPÍ","Púb.","CL","CLARA CAMPOAMOR","30",3400,"VILLENA","Alacant","965800345","965817228",38.6268,-0.859042
"46004346","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAGRADO CORAZÓN","SAGRADO CORAZÓN","Priv.","PZ","SANTA MAGDALENA SOFÍA","1",46110,"GODELLA","València","963638150","963900455",39.5173,-0.407481
"46006771","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","SAN RAFAEL","SAN RAFAEL","Priv.","CL","PIZARRO","9",46185,"POBLA DE VALLBONA (LA)","València","962760105","961661702",39.595,-0.553864
